id,adj.P.Val.SCoV2.over.RMRP,Log.P.Value.SCoV2.over.RMRP,logFC.SCoV2.over.RMRP,P.Value.SCoV2.over.RMRP,RMRP rep2 ratio,RMRP rep1 ratio,SCoV2 rep2 ratio,SCoV2 rep1 ratio,accession_number,geneSymbol,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,totalIntensity,entry_name
YP_009725311.1,0.01692259227,28.22996842,1.805614747,0.001503152895,,-1.549387727,0.356938719,0.15551532,YP_009725311.1,nsp16,1,1,1,YP_009725311.1,SARSCOV2_NC_045512.2,3.3,628,628.1,14.28,14.28,1.45E+07, mat_peptide:2'-O-ribose_methyltransferase:ORF1b_polyprotein:ORF1ab:GN=nsp16
YP_009724393.1,0.00625156071,35.56505276,1.791257559,0.0002776481117,-0.527673352,-0.109387727,1.727938719,1.21751532,YP_009724393.1,M,70,11,11,YP_009724393.1|ORFM.ext,SARSCOV2_NC_045512.2,39.6,48,48.1,171.93,171.93,1.87E+12, CDS:membrane_glycoprotein:M:GN=M
NP_000986.2,0.3913823169,6.421594638,1.786257559,0.2279504932,-3.696673352,-1.061387727,-0.450061281,-0.73548468,NP_000986.2,RPL34,2,2,2,NP_000986.2,HOMO SAPIENS,13.6,526,526.1,18.26,18.26,2.74E+06, 60S ribosomal protein L34 GN=RPL34
NP_055205.2,0.005798041283,36.03452865,1.785257559,0.0002491994821,-0.574673352,-0.090387727,1.588938719,1.31651532,NP_055205.2,SND1,28,22,22,NP_055205.2,HOMO SAPIENS,25.6,25,25.1,328.95,328.95,3.18E+09, staphylococcal nuclease domain-containing protein 1 GN=SND1
NP_001284478.1,0.007658472616,34.18136951,1.761257559,0.0003818238471,-0.394673352,-0.073387727,1.876938719,1.17751532,NP_001284478.1,UPF1,9,9,9,NP_001284478.1|NP_002902.2,HOMO SAPIENS,7,102,102.1,104.42,104.42,2.53E+08, regulator of nonsense transcripts 1 isoform 1 GN=UPF1
NP_001287750.1,0.007046767347,34.7735155,1.731757559,0.0003331566224,-0.630673352,-0.178387727,1.494938719,1.15951532,NP_001287750.1,EIF4B,78,35,35,NP_001287750.1|NP_001408.2|NP_001317583.1,HOMO SAPIENS,48.8,13,13.1,524.58,524.58,1.46E+10, eukaryotic translation initiation factor 4B isoform 1 GN=EIF4B
YP_009742616.1,0.02231571681,26.08753856,1.692114747,0.002461762457,,-0.166387727,1.416938719,1.63451532,YP_009742616.1,nsp9,1,1,1,YP_009742616.1,SARSCOV2_NC_045512.2,7.9,525,525.1,18.29,18.29,1.06E+08, mat_peptide:nsp9:ORF1a_polyprotein:ORF1ab:GN=nsp9
NP_001230648.1,0.01026757472,31.60289693,1.673757559,0.0006913696444,-0.865673352,-0.126387727,1.398938719,0.95651532,NP_001230648.1,RAB6A,3,4,1,NP_001230648.1|NP_002860.2|NP_942599.1|NP_001230647.1,HOMO SAPIENS,20,80,80.4,66.88,20.87,3.27E+07, ras-related protein Rab-6A isoform c GN=RAB6A
NP_002998.1,0.6583320163,2.710621105,1.667257559,0.5357200362,-2.127673352,-0.539387727,-1.983061281,2.65051532,NP_002998.1,SEMG1,8,7,7,NP_002998.1|NP_002999.1,HOMO SAPIENS,17.5,98,98.1,108.69,108.69,5.64E+07, semenogelin-1 preproprotein GN=SEMG1
NP_001231903.1,0.01026757472,31.76900073,1.656757559,0.0006654262472,-0.623673352,-0.065387727,1.584938719,1.03951532,NP_001231903.1,PPP1CC,2,6,2,NP_001231903.1|NP_002701.1,HOMO SAPIENS,20.1,84,84.3,107.19,34.54,5.55E+07, serine/threonine-protein phosphatase PP1-gamma catalytic subunit isoform 2 GN=PPP1CC
NP_001007554.1,0.009728690704,32.43017169,1.655757559,0.0005714560442,-0.599673352,-0.183387727,1.526938719,1.00151532,NP_001007554.1,CSDE1,48,30,30,NP_001007554.1|NP_001123995.1|NP_001229820.1|NP_001229822.1,HOMO SAPIENS,34,20,20.1,405.68,405.68,5.42E+09, cold shock domain-containing protein E1 isoform 1 GN=CSDE1
NP_001123551.1,0.009728690704,32.63450385,1.642257559,0.0005451921766,-0.575673352,-0.153387727,1.474938719,1.08051532,NP_001123551.1,MOV10,51,27,27,NP_001123551.1|NP_001273001.1,HOMO SAPIENS,27.8,19,19.1,407.03,407.03,7.64E+09, putative helicase MOV-10 isoform 1 GN=MOV10
NP_000961.2,0.03050607345,24.2497066,1.615257559,0.003758627961,-1.251673352,-0.019387727,1.182938719,0.77651532,NP_000961.2,RPL6,7,6,6,NP_000961.2|NP_001307071.1,HOMO SAPIENS,19.7,121,121.1,88.06,88.06,2.95E+08, 60S ribosomal protein L6 isoform 1 GN=RPL6
NP_071496.1,0.009105661244,33.16342209,1.608757559,0.0004826783181,-0.198673352,-0.000387727,1.570938719,1.44751532,NP_071496.1,EIF4H,16,11,11,NP_071496.1|NP_114381.1,HOMO SAPIENS,53.2,61,61.1,159.31,159.31,4.03E+09, eukaryotic translation initiation factor 4H isoform 1 GN=EIF4H
NP_002943.2,0.01026757472,31.83543028,1.600757559,0.0006553253566,-0.685673352,-0.196387727,1.279938719,1.03951532,NP_002943.2,RPS2,12,8,8,NP_002943.2,HOMO SAPIENS,23.8,103,103.1,103.84,103.84,7.46E+08, 40S ribosomal protein S2 GN=RPS2
NP_002889.1,0.009728690704,32.49527823,1.587257559,0.000562953051,0.000326648,-0.188387727,1.605938719,1.38051532,NP_002889.1,RBMS2,9,5,2,NP_002889.1,HOMO SAPIENS,10.3,149,149.1,66.08,26.5,1.31E+08," RNA-binding motif, single-stranded-interacting protein 2 GN=RBMS2"
NP_001005.1,0.01911299085,27.30017858,1.579757559,0.00186201057,-1.476673352,-0.355387727,0.678938719,0.64851532,NP_001005.1,RPS10,4,4,4,NP_001005.1|NP_001189399.1,HOMO SAPIENS,20.6,234,234.1,44.47,44.47,8.53E+07, 40S ribosomal protein S10 GN=RPS10
NP_001180345.1,0.01467949002,29.21269599,1.549257559,0.001198754916,-0.776673352,0.005612273,1.247938719,1.07951532,NP_001180345.1,DDX3X,21,15,15,NP_001180345.1|NP_001180346.1|NP_001347.3|NP_001350748.1|NP_001116137.1|NP_001289481.1|NP_001311124.1|NP_001136021.1|NP_001160005.1|NP_001160006.1|NP_077726.1,HOMO SAPIENS,18.1,40,40.1,208.08,208.08,1.10E+09, ATP-dependent RNA helicase DDX3X isoform 2 GN=DDX3X
NP_057190.2,0.01077948847,31.24657426,1.544757559,0.0007504859629,-0.376673352,-0.093387727,1.427938719,1.19151532,NP_057190.2,SCFD1,4,3,3,NP_057190.2|NP_001244305.1|NP_001269960.1|NP_001269961.1|NP_878255.1,HOMO SAPIENS,3.5,313,313.1,33.82,33.82,2.74E+07, sec1 family domain-containing protein 1 isoform a GN=SCFD1
NP_001020241.1,0.01650178955,28.48173128,1.478757559,0.001418491938,-0.225673352,0.136612273,1.700938719,1.16751532,NP_001020241.1,RPS14,4,4,4,NP_001020241.1,HOMO SAPIENS,23.1,150,150.1,66.07,66.07,1.74E+08, 40S ribosomal protein S14 GN=RPS14
NP_001005386.1,0.02399541106,25.62737182,1.476757559,0.002736924508,-0.741673352,0.328612273,1.341938719,1.19851532,NP_001005386.1,ACTR2,2,2,2,NP_001005386.1|NP_005713.1|NP_005727.1,HOMO SAPIENS,3,425,425.1,24.31,24.31,1.43E+08, actin-related protein 2 isoform a GN=ACTR2
NP_005498.1,0.03313777136,23.72184598,1.465757559,0.004244391169,-0.936673352,0.187612273,1.276938719,0.90551532,NP_005498.1,CFL1,4,4,4,NP_005498.1,HOMO SAPIENS,32.5,166,166.1,61.78,61.78,4.08E+08, cofilin-1 GN=CFL1
NP_001559.1,0.01645063171,28.58421976,1.462757559,0.001385409061,-0.254673352,0.155612273,1.593938719,1.23251532,NP_001559.1,EIF3E,2,2,2,NP_001559.1,HOMO SAPIENS,4.4,353,353.1,28.84,28.84,7.47E+06, eukaryotic translation initiation factor 3 subunit E GN=EIF3E
NP_009109.3,0.0204841971,26.70782761,1.426757559,0.002134112152,-0.635673352,0.039612273,1.291938719,0.96551532,NP_009109.3,STRAP,3,2,2,NP_009109.3,HOMO SAPIENS,5.4,436,436.1,23.87,23.87,8.49E+07, serine-threonine kinase receptor-associated protein GN=STRAP
NP_001107565.1,0.01911299085,27.51839627,1.426757559,0.001770762731,-0.556673352,-0.816387727,1.006938719,0.47351532,NP_001107565.1,LSM14A,2,2,2,NP_001107565.1|NP_056393.2,HOMO SAPIENS,4.3,444,444.1,23.38,23.38,6.24E+07, protein LSM14 homolog A isoform a GN=LSM14A
NP_002127.1,0.02032915895,26.84477662,1.409757559,0.002067865738,-0.365673352,0.003612273,1.495938719,0.96151532,NP_002127.1,HNRNPA1,19,10,8,NP_002127.1|NP_112420.1|NP_001011724.1,HOMO SAPIENS,28.7,51,51.2,131.41,114.24,1.29E+09, heterogeneous nuclear ribonucleoprotein A1 isoform a GN=HNRNPA1
NP_001295206.1,0.0204841971,26.57375213,1.401757559,0.002201024043,0.368326648,-0.296387727,1.414938719,1.46051532,NP_001295206.1,C19orf66,5,4,4,NP_001295206.1|NP_060851.2,HOMO SAPIENS,14.1,181,181.1,56.54,56.54,3.04E+08, repressor of yield of DENV protein isoform 2 GN=C19orf66
NP_001276978.1,0.02871464945,24.61472618,1.393257559,0.003455631166,-0.692673352,0.173612273,1.356938719,0.91051532,NP_001276978.1,USO1,7,7,7,NP_001276978.1|NP_003706.2,HOMO SAPIENS,7.3,111,111.1,96,96,9.43E+07, general vesicular transport factor p115 isoform 1 GN=USO1
NP_001007226.1,0.0204841971,26.61535163,1.374257559,0.002180041879,0.347326648,-0.091387727,1.637938719,1.36651532,NP_001007226.1,IGF2BP2,16,13,11,NP_001007226.1|NP_001278798.1|NP_006539.3|NP_001278801.1|NP_001278802.1|NP_001278803.1|NP_001278804.1,HOMO SAPIENS,21,30,30.3,173.1,154.59,2.76E+09, insulin-like growth factor 2 mRNA-binding protein 2 isoform b GN=IGF2BP2
NP_000691.1,0.02417774285,25.5195465,1.373757559,0.002805726605,-0.660673352,0.006612273,1.210938719,0.88251532,NP_000691.1,ANXA1,3,3,3,NP_000691.1,HOMO SAPIENS,8.6,306,306.1,34.49,34.49,1.50E+08, annexin A1 GN=ANXA1
NP_001240308.1,0.01911299085,27.35670996,1.365757559,0.001837930159,-0.319673352,-0.224387727,1.176938719,1.01051532,NP_001240308.1,RPL15,5,2,2,NP_001240308.1|NP_001240313.1,HOMO SAPIENS,7.8,332,332.1,30.98,30.98,2.85E+09, 60S ribosomal protein L15 isoform 1 GN=RPL15
NP_001265541.1,0.05192953095,20.56559015,1.317757559,0.00877891784,-1.184673352,-0.051387727,0.493938719,0.90551532,NP_001265541.1,EIF1AY,2,2,2,NP_001265541.1|NP_001403.1|NP_004672.2,HOMO SAPIENS,16.5,339,339.1,30.08,30.08,6.05E+06," eukaryotic translation initiation factor 1A, Y-chromosomal isoform 2 GN=EIF1AY"
NP_000356.1,0.3650123746,6.874648635,1.309257559,0.2053691173,-1.929673352,0.213612273,0.370938719,0.53151532,NP_000356.1,TPI1,3,3,3,NP_000356.1|NP_001152759.1|NP_001244955.1,HOMO SAPIENS,12.8,205,205.1,49.99,49.99,9.50E+07, triosephosphate isomerase isoform 1 GN=TPI1
NP_065207.2,0.0535724668,19.93613627,1.290257559,0.0101481382,-1.219673352,-0.008387727,0.699938719,0.65251532,NP_065207.2,GALNT1,2,2,2,NP_065207.2,HOMO SAPIENS,3.2,500,500.1,20.01,20.01,3.04E+07, polypeptide N-acetylgalactosaminyltransferase 1 GN=GALNT1
NP_004628.4,0.1303850429,13.80322785,1.285257559,0.04165596642,-1.396673352,0.203612273,0.754938719,0.62251532,NP_004628.4,RAB7A,2,2,2,NP_004628.4,HOMO SAPIENS,9.6,475,475.1,21.46,21.46,4.51E+07, ras-related protein Rab-7a GN=RAB7A
NP_001307894.1,0.0370826155,22.92413832,1.278257559,0.005100187805,-0.717673352,-0.012387727,1.121938719,0.70451532,NP_001307894.1,HDLBP,13,11,11,NP_001307894.1|NP_001307896.1|NP_001230829.1,HOMO SAPIENS,7.2,83,83.1,126.63,126.63,1.12E+09, vigilin isoform a GN=HDLBP
NP_004930.1,0.03361581989,23.53523887,1.252257559,0.004430738438,-0.215673352,0.044612273,1.413938719,0.91951532,NP_004930.1,DDX1,3,2,2,NP_004930.1,HOMO SAPIENS,2.1,503,503.1,19.75,19.75,5.56E+07, ATP-dependent RNA helicase DDX1 GN=DDX1
NP_002700.1,0.04884012103,21.27165009,1.200757559,0.007461652004,-0.871673352,-0.161387727,0.864938719,0.50351532,NP_002700.1,PPP1CB,10,7,2,NP_002700.1|NP_996756.1,HOMO SAPIENS,25,84,84.1,121.64,27.5,7.32E+08, serine/threonine-protein phosphatase PP1-beta catalytic subunit isoform 1 GN=PPP1CB
NP_000282.1,0.1267881803,13.98353973,1.196257559,0.03996189064,-1.326673352,0.136612273,0.395938719,0.80651532,NP_000282.1,PGK1,2,2,2,NP_000282.1|NP_620061.2,HOMO SAPIENS,3.5,418,418.1,24.76,24.76,2.25E+07, phosphoglycerate kinase 1 GN=PGK1
NP_004090.4,0.05753584302,19.31628597,1.195757559,0.01170499958,-1.072673352,0.010612273,0.783938719,0.54551532,NP_004090.4,STOM,5,3,3,NP_004090.4|NP_937837.1,HOMO SAPIENS,9.7,245,245.1,42.39,42.39,4.68E+07, erythrocyte band 7 integral membrane protein isoform a GN=STOM
NP_001000.2,0.07184427825,17.75275632,1.164257559,0.01677738876,-1.104673352,0.068612273,0.551938719,0.74051532,NP_001000.2,RPS5,2,2,2,NP_001000.2,HOMO SAPIENS,8.3,536,536.1,17.83,17.83,2.61E+07, 40S ribosomal protein S5 GN=RPS5
NP_001317176.1,0.05213728434,20.48599366,1.161757559,0.008941299322,-0.386673352,0.052612273,1.313938719,0.67551532,NP_001317176.1,HNRNPA3,6,4,4,NP_001317176.1|NP_001317178.1|NP_001317179.1,HOMO SAPIENS,9.2,201,201.1,50.49,50.49,1.04E+09, heterogeneous nuclear ribonucleoprotein A3 isoform b GN=HNRNPA3
NP_000968.2,0.04884012103,21.25694913,1.161757559,0.007486952651,-0.546673352,-0.011387727,1.010938719,0.75451532,NP_000968.2,RPL13,2,2,2,NP_000968.2|NP_001230059.1,HOMO SAPIENS,9.4,358,358.1,28.52,28.52,1.73E+08, 60S ribosomal protein L13 isoform 1 GN=RPL13
NP_000996.2,0.04934372568,21.07165525,1.159757559,0.007813299562,-0.537673352,-0.018387727,1.058938719,0.70451532,NP_000996.2,RPS3,31,18,18,NP_000996.2|NP_001247435.1|NP_001247436.1,HOMO SAPIENS,69.9,39,39.1,208.83,208.83,1.89E+09, 40S ribosomal protein S3 isoform 1 GN=RPS3
NP_001137232.1,0.04819110056,21.39699279,1.148757559,0.007249377591,-0.211673352,0.030612273,1.256938719,0.85951532,NP_001137232.1,EIF5A,6,4,4,NP_001137232.1|NP_001137233.1|NP_065123.1|NP_001093162.1,HOMO SAPIENS,21.1,194,194.1,53.2,53.2,6.77E+08, eukaryotic translation initiation factor 5A-1 isoform A GN=EIF5A
